iter	Passed	Remaining
0	139	13846
1	142	6988
2	146	4723
3	149	3580
4	152	2903
5	161	2532
6	174	2318
7	184	2124
8	191	1932
9	201	1811
10	205	1663
11	208	1532
12	213	1426
13	217	1337
14	226	1281
15	229	1207
16	232	1137
17	236	1075
18	239	1019
19	244	977
20	247	930
21	250	886
22	252	846
23	255	810
24	259	779
25	262	748
26	265	718
27	268	690
28	271	665
29	276	644
30	279	622
31	282	600
32	285	579
33	289	562
34	292	544
35	295	525
36	298	508
37	301	492
38	306	480
39	309	464
40	312	450
41	315	435
42	318	422
43	322	410
44	325	398
45	328	385
46	331	374
47	334	362
48	339	353
49	342	342
50	345	331
51	348	321
52	351	311
53	355	302
54	357	292
55	360	283
56	363	274
57	366	265
58	370	257
59	373	248
60	376	240
61	379	232
62	382	224
63	386	217
64	390	210
65	394	203
66	398	196
67	403	190
68	407	183
69	411	176
70	415	169
71	419	163
72	423	156
73	426	149
74	429	143
75	432	136
76	435	130
77	439	123
78	442	117
79	445	111
80	449	105
81	452	99
82	455	93
83	458	87
84	461	81
85	465	75
86	468	69
87	471	64
88	474	58
89	476	52
90	480	47
91	483	42
92	487	36
93	490	31
94	493	25
95	495	20
96	500	15
97	503	10
98	506	5
99	509	0
